key,value
aSPpPkWTOYYZgzxPekpdnKHEkPvUgrPW,5
bxdrcUBpFLGTaatYuHkUbIGzzLPnnfNd,5
wsAdMEGBTRIOqBajeqzrnPvujHdveNJi,5
rOvInZmohUpmEvJxwfyYthaTwAFzelOt,5
rBjXmPyocriEdkwtgSQDybJODnBIebiG,5
ruLWHJrmPbAAhGfvdfgALZmujupFgDcS,5
ESCwUtyLMAaOxsCFOebMSRVMsKxJzHDr,5
GgsnZCEABMXooxnTPxhLjLzizdTABzbp,5
ziINrrviMvwtgtvRZfmsZnYSZGypPlWX,5
FLjebEEnbEPaMoRhlfxpCOCXrCcJKMnn,5
ozvENhPXRdEQInqYZOKUJWMvmrungjJy,5
mWhgAKmKQSyFFOQhEccCpWDfeuQPcmRP,5
vLXZFKCidjxKSaPyAeXSeDzGcOMRcBMj,5
DgpPCIDJDhsvZJvWgcZMmKwzvMoDAWNB,5
diWtaSHoOvKRDcVYOyyDSMKhjKAGrskc,5
MHuGJiJxBLzkpOWJvOpcwpFRsNpXivpI,5
yYffJwtEkBDYPPAnTNpVsBZSJeszRUYY,5
BpqHeUHKmjvelLNROGVuscHWQhvpTpYB,5
nGduYbbuVFeTqlPGZpEUUiQtsCUpMNYd,5
nDSbhUKvwuIZAEGEKoxVsZvLlbLlcLeJ,5
