key,value
aSPpPkWTOYYZgzxPekpdnKHEkPvUgrPW,OIvRlFBkdwdnVqyepzlB;bkUnFcNSXGBZSIiTHbKV;FRTiWXRvTAVRovDpBbiN||CRvxNBkeDKckrIvjJmxF;rJcOapkQxLBeGdtDpUty;iacwPRGAYGWrLFQHTOUY||BstrKKgEQvTMAsPdUNEU;hPdqcUyhcDEdFSQUYpzT;ZVrUEaEeCwAqUGKkonTT||bjlErcNEynHwEptGsSnf;ACkwcFByLpziybwRyUKO;zdqYllsjMQyWnAdgUMsH||sErkkBMoSmzRSQIrXlpw;kFiQCnVvoQUrXJSnPAhJ;xUzjWwtXOXvjGOstLJcm
bxdrcUBpFLGTaatYuHkUbIGzzLPnnfNd,OPLhtVYpsXsYmKspBHlx;OHYYIHTiCXvHUbrUOIDA;IIjcaAYWBEGMihyMXdft||iYeSVhaxsOrsKQGZJPVk;EVhBIjKBxIZNwbbFXgJV;bDiZQIXtepEEStBIcbyE||uimtXgMWQRzXTLpieTAM;YIjyrmwzBfoUkxgaDicV;mLFvTELaUSbOaKivuYXc||hhweSdYdXAQFzhYIWfFZ;XymLxBqxLZjvyuzDcKzE;GkIOhhwcWXxevoWNzJXN||gCbqtvQUNbgefThzAWaD;FHRwqsGiXrgrmLwekqwJ;qalPQOOcePCxtQvhoCgs
wsAdMEGBTRIOqBajeqzrnPvujHdveNJi,OJyuYDMEiRwAwdYXyGYO;NgIPmNDhSJHeuLWfVzZf;XfvuNflLrfxsFBZepoDp||NsHniloknBdoWBoRnqRk;PmHRGbgpJIvxlPkRaAGE;VlOdpeUWhJDVfMWOovJE||SwfeoyVRiracqXHUzpRl;ZIqVNuTBchnzpmdNzrvw;PWmTADeKLUGvJDmDZRnU||VTtXcOkthtiwJVJrdEvR;StkgphSFahMYheNDhhef;BPnyqMvZCdsreRuhItbN||ttctVSzZBQjjrTfGKzTZ;TLxVXjXFrAzmenIYCgsC;jMUJbRCrVVJQPEgqZwuC
rOvInZmohUpmEvJxwfyYthaTwAFzelOt,qnzOJlIbwRezHlxHCtCS;FzaMwRvsHqCrcKgraobE;FnbVGGLFInAlHMkQGLKp||zsQQUBiHVQapnaagdpdg;jetgXMKkEUbsiepwWCMq;mOxHxvtxUlZeXAgRIfGa||ehSIEaFakgWUEqSVooec;dRtJsrywOCqruqUNsCcM;MEapqkwRXCIQkIsPFXAd||GNcUzIYviRSgYmjCXWAc;cNXdbYuNmoLXWisYTomi;mydXSNzWrxOsYsAhnSsG||imHZLOTQMnQnEsuyrFHA;VSNNzDYqJrswTEBvLLgN;IObizKjaVlaRfQHQBTeq
rBjXmPyocriEdkwtgSQDybJODnBIebiG,ejoKBLFvcmxzbXlqrmQj;FraHabVpNKTbCTbmuEHC;xPKltVzrZNXjnRTjOaqE||ivKruDCdjtJAnPfcMbVv;ErTSzMXNTIdfrUbMTYBQ;VtLhaXnwmNUzjwNzIrJc||ewdYSAkfIoOvVIUigJkL;QgHHuZEoiDvBFqUcyOHQ;vrUcIEjJKEaysYvDoGoO||azWiZoXJdYhYZIWNdgyE;hgoCDdwIikXxJLZHMSsU;sngmYDCIaWPuXXefSyIE||sBSsmBOUrXtZeUIcMyMM;FLgEzqvoiDSLiISAEedM;KZmjMfbpSGDYWrGoyOkY
ruLWHJrmPbAAhGfvdfgALZmujupFgDcS,gMKQpIEXxWoRzoPLmgxc;dJrEpiRFewvPddpyjrfC;JMGCRiWVXxYXPZxtzffu||DjqcWSCEpedZffMwbBhZ;KgxiJrpPpkqMoCtYwjKK;zUHwTmeNGCoWQoZPfFna||HwiXMSiOuNbZoBEEOHEU;kaVQyPKatfHFUsFNwHwV;lEudilRFlHsoXxCCehig||sionCTGHyDxUniyVtNgA;ZXVHMDAaUgqXfIXAVDpA;aBhUShOhMBCsTeQfkDwB||vEmvZksMgEODVGnDTYfH;itiWtDzJkuyUjMchmrGt;uFAoOIZcClBytfhAdVNG
ESCwUtyLMAaOxsCFOebMSRVMsKxJzHDr,AmKgqBpMiGFSbHauvkML;LyPVCuGGzYDRqmjawZBG;pdafgyAuexkDZkjBDDpv||uDcDyGtusIZiCkcjRcIs;fOjqvBPKDfLQycMyFXBZ;RkdygiPpXTpoQUEVFVYP||bjGknpTiidkuisOKEyZY;OIwszRpGeADwuOuFkANB;VJaXyCPQpxwjSevVLRDd||LjrVWjBAOjAStGkATdYG;pSNLpqnGxLXWiDcKmddV;izAjCFGmJginmvidzyVo||GZzsUryWfYzhmZlCiIMT;uZcmqeXvXJLlWhIDogaK;ctSTnkHfSWWwEqQPihKQ
GgsnZCEABMXooxnTPxhLjLzizdTABzbp,wVQLNaXaMMrzSeXvtgSh;egvNnmESTrHgnnRAhOBd;HjmnWEViWuSNtSZnUePk||RhQgZAKkGEOqQxCbeLpW;KIFSFvbWLbgiRHwPwPJp;OdTDaVNQOjpVPbSZazkY||ycGknzsoEWZgNpNWvhdq;ZhmDvHMaMOiAnCfnliSD;NjVLgxfIaKVXEORgBzGR||qIrxKSDZlRNDnXRFQVtE;liFVYzLGLANqbidQWnpq;GAejhHMnnLqttVYTCXIV||XvkTaFQAdYicKQnNYpSQ;VdJbYiLZOAFOGqAZkVWa;DxTtRvYiLECSIUlwcgRq
ziINrrviMvwtgtvRZfmsZnYSZGypPlWX,MDaSWPqLMxULogTPXfAl;NNXxZNcONMbUVBkYdVni;ESAYlnnsrhVnAlDQEBuu||oYYHotHykoqWPhowCgLB;HMYHyTwMqYVaKKWwbxPd;racKxreRQSkYpGhTFdzu||yAJwSsRRKOTcSgkithbG;TKPxkBycqVhZgNSPnYjD;YlWlHTDbQTGZwqArVeYo||ediTiCBhtXvoNsOSvAtH;FHyXKfgnnyUlmhEJGVpb;pZcSXRWtdFPEXbJjhLYg||kDrkFapyGexXJZznehbH;AUIvGNkDtsABXMTlijnl;yZEfeelPzfVnyWHNjKaq
FLjebEEnbEPaMoRhlfxpCOCXrCcJKMnn,lkAoTKHHHMaSzbhHtzRN;CXWNebHwTAnwmHqttnai;dumKsuZaxeBZHazLoYba||YUOpBedSRGNcafGrbpyP;QjiYpNQzEXjRfJlOmHIK;THmEHeiCwNQsLTdTjqTI||aooFStnkvoPRemlGdBjU;mCUtpPJIzGpzDEvWawgU;eKKXFeptSudnxwBzXiXL||mhkOeRBJenneHMCkFJTm;IQzSVnmbqWibzNmrPquU;hzYExZHaslBfELBoWxsb||SIvAxDJKSQxvrCRMEFHo;LVofYFKjtbuEKrwSOxtQ;mtvGErERGsHsGMWvCtLx
